id,Nome_KOI,Nome_Kepler,Disposicao_KOI,Pontuacao_KOI,Periodo_Orbital,Raio_Planeta,Temperatura_Equilibrio,Fluxo_Insolacao,Temperatura_Efetiva,Gravidade_Surface,Erro_Periodo_Orbital_+,Erro_Periodo_Orbital_-,Flag_Nao_Transito,Flag_Sinal_Secundario,Flag_Contaminacao,Flag_Contaminacao_Ecliptica
9425139,K01411.01,Kepler-3069 r,CANDIDATE,0.995,305.0762469,7.82,284.0,1.53,3157.777777777778,4.348,0.0004678,-0.0004678,0,0,0,0
7810483,K01943.01,Kepler-1676 b,CONFIRMED,0.994,29.92208104,3.09,782.0,88.52,3386.1111111111113,4.055,6.9e-05,-6.9e-05,0,0,0,0
9904006,K02135.03,Kepler-361 b,CONFIRMED,0.999,8.48651582,1.34,1060.0,298.03,3414.4444444444443,4.269,5.335e-05,-5.335e-05,0,0,0,0
7367164,K07835.01,Kepler-35 rr,CANDIDATE,0.825,3.76565247,0.87,1108.0,356.3,3212.777777777778,4.54,3.03e-05,-3.03e-05,0,0,0,0
7671950,K07846.01,Kepler-9995 rr,CANDIDATE,0.939,10.5994606,1.28,896.0,152.67,3423.3333333333335,4.445,0.0002278,-0.0002278,0,0,0,0
8081187,K01951.01,Kepler-1025 b,CONFIRMED,0.999,37.3228722,35.34,1654.0,1769.88,2708.3333333333335,2.41,0.0001418,-0.0001418,0,0,0,0
7747103,K07847.01,Kepler-6856 rr,CANDIDATE,0.181,399.37587,3.93,326.0,2.66,3370.0,4.069,0.0688,-0.0688,0,0,0,0
6342333,K02065.01,Kepler-1789 b,CONFIRMED,0.968,80.2321467,3.24,380.0,4.91,3002.222222222222,4.505,0.0003914,-0.0003914,0,0,0,0
10404582,K02147.02,Kepler-362 b,CONFIRMED,0.854,10.32736351,1.25,838.0,116.56,3180.5555555555557,4.431,8.193e-05,-8.193e-05,0,0,0,0
4570949,K01658.01,Kepler-76 b,CONFIRMED,1.0,1.544928892,13.43,1997.0,3765.46,3487.222222222222,4.199,6.3e-08,-6.3e-08,0,1,0,0
11518201,K03104.01,Kepler-7687 rr,CANDIDATE,0.981,1.236866732,1.75,1569.0,1439.3,3105.0,4.514,4.108e-06,-4.108e-06,0,0,0,0
11497958,K01422.05,Kepler-296 e,CONFIRMED,0.984,34.1420506,1.06,248.0,0.89,1941.111111111111,4.866,0.0002289,-0.0002289,0,0,0,0
9758032,K03137.01,Kepler-8626 rr,CANDIDATE,1.0,1.332035996,0.85,1365.0,823.09,2968.8888888888887,4.616,6.947e-06,-6.947e-06,0,0,0,0
6444896,K03138.01,Kepler-1649 b,CONFIRMED,1.0,8.68910764,0.49,211.0,0.47,1483.888888888889,5.274,3.364e-05,-3.364e-05,0,0,0,0
11442793,K00351.05,Kepler-90 c,CONFIRMED,0.999,8.71980135,1.53,987.0,224.47,3298.8888888888887,4.317,2.988e-05,-2.988e-05,0,0,0,0
11442793,K00351.06,Kepler-90 b,CONFIRMED,0.916,7.00821787,1.29,1062.0,300.58,3298.8888888888887,4.317,4.701e-05,-4.701e-05,0,0,0,0
